ingredients,formatted ingredients,what-it-does
Ethylhexyl Methoxycinnamate,ethylhexyl-methoxycinnamate,['sunscreen']
Ethylhexyl Salicylate,ethylhexyl-salicylate,['sunscreen']
Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine,bis-ethylhexyloxyphenol-methoxyphenyl-triazine,['sunscreen']
Diisopropyl Sebacate,diisopropyl-sebacate,"['emollient', 'solvent']"
Silica,silica,['viscosity controlling']
Diethylamino Hydroxybenzoyl Hexyl Benzoate,diethylamino-hydroxybenzoyl-hexyl-benzoate,['sunscreen']
Ethylhexyl Triazone,ethylhexyl-triazone,['sunscreen']
Titanium Dioxide,titanium-dioxide,"['sunscreen', 'colorant']"
Glycerin,glycerin,"['skin-identical ingredient', 'moisturizer/humectant']"
Caprylyl Methicone,caprylyl-methicone,['emollient']
PPG-17,ppg-17,['']
Acrylamides/Dmapa Acrylates/Methoxy PEG Methacrylate Copolymer,acrylamides-dmapa-acrylates-methoxy-peg-methacrylate-copolymer,['']
Phenoxyethanol,phenoxyethanol,['preservative']
Dextrin Palmitate/Ethylhexanoate,dextrin-palmitate-ethylhexanoate,"['emulsifying', 'surfactant/cleansing']"
PEG-60 Hydrogenated Castor Oil,peg-60-hydrogenated-castor-oil,"['emulsifying', 'surfactant/cleansing']"
C30-45 Alkyl Methicone,c30-45-alkyl-methicone,"['emollient', 'viscosity controlling']"
Hydrated Silica,hydrated-silica,"['abrasive/scrub', 'viscosity controlling']"
C30-45 Olefin,c30-45-olefin,['']
Carbomer,carbomer,['viscosity controlling']
Triethoxycaprylylsilane,triethoxycaprylylsilane,['']
Potassium Hydroxide,potassium-hydroxide,['buffering']
Agar,agar,['viscosity controlling']
Xanthan Gum,xanthan-gum,['viscosity controlling']
Acrylates/C10-30 Alkyl Acrylate Crosspolymer,acrylates-c10-30-alkyl-acrylate-crosspolymer,['viscosity controlling']
Fragrance (Parfum),parfum,['perfuming']
Distearyldimonium Chloride,distearyldimonium-chloride,['']
Butylene Glycol,butylene-glycol,"['moisturizer/humectant', 'solvent']"
Dextrin Palmitate,dextrin-palmitate,"['emulsifying', 'surfactant/cleansing']"
PEG/PPG-14/7 Dimethyl Ether,peg-ppg-14-7-dimethyl-ether,['']
Stearic Acid,stearic-acid,"['emollient', 'viscosity controlling']"
BHT,bht,"['antioxidant', 'preservative']"
Dipotassium Glycyrrhizate,dipotassium-glycyrrhizate,"['soothing', 'moisturizer/humectant']"
Leontopodium Alpinum Extract,leontopodium-alpinum-extract,['']
Camellia Sinensis Leaf Extract,camellia-sinensis-leaf-extract,"['antioxidant', 'soothing']"
Potentilla Erecta Root Extract,potentilla-erecta-root-extract,['']
Sodium Acetylated Hyaluronate,sodium-acetylated-hyaluronate,['moisturizer/humectant']
Talc,talc,['abrasive/scrub']
Soluble Collagen,soluble-collagen,['moisturizer/humectant']
Water,water,['solvent']
Cetearyl Alcohol,cetearyl-alcohol,"['emollient', 'viscosity controlling', 'emulsifying', 'surfactant/cleansing']"
Caprylic/Capric Triglyceride,caprylic-capric-triglyceride,['emollient']
Lactococcus Ferment Lysate,lactococcus-ferment-lysate,['']
Glycerin,glycerin,"['skin-identical ingredient', 'moisturizer/humectant']"
Cyclopentasiloxane,cyclopentasiloxane,"['emollient', 'solvent']"
Niacinamide,niacinamide,"['cell-communicating ingredient', 'skin brightening', 'anti-acne', 'moisturizer/humectant']"
Glyceryl Stearate,glyceryl-stearate,"['emollient', 'emulsifying']"
PEG-100 Stearate,peg-100-stearate,"['surfactant/cleansing', 'emulsifying']"
Hordeum Distichon (Barley) Extract,hordeum-distichon-extract,['']
Butylene Glycol,butylene-glycol,"['moisturizer/humectant', 'solvent']"
Dimethicone,dimethicone,['emollient']
Ceteareth-20,ceteareth-20,"['emulsifying', 'surfactant/cleansing']"
Ribose,ribose,['moisturizer/humectant']
Phenoxyethanol,phenoxyethanol,['preservative']
Phellodendron Amurense Bark Extract,phellodendron-amurense-bark-extract,"['soothing', 'anti-acne']"
Santalum Album (Sandalwood) Extract,santalum-album-extract,"['surfactant/cleansing', 'soothing']"
Acrylates/C10-30 Alkyl Acrylate Crosspolymer,acrylates-c10-30-alkyl-acrylate-crosspolymer,['viscosity controlling']
Chlorphenesin,chlorphenesin,"['preservative', 'antimicrobial/antibacterial']"
Caprylyl Glycol,caprylyl-glycol,"['moisturizer/humectant', 'emollient']"
Fragrance,parfum,['perfuming']
Ethylhexylglycerin,ethylhexylglycerin,['preservative']
Hexylene Glycol,hexylene-glycol,"['solvent', 'emulsifying', 'perfuming', 'surfactant/cleansing']"
Citrullus Lanatus (Watermelon) Fruit Extract,citrullus-lanatus-fruit-extract,['antioxidant']
Allantoin,allantoin,['soothing']
Cyamopsis Tetragonoloba (Guar) Gum,cyamopsis-tetragonoloba-gum,['viscosity controlling']
Xanthan Gum,xanthan-gum,['viscosity controlling']
Tetrasodium Glutamate Diacetate,tetrasodium-glutamate-diacetate,['chelating']
Lens Esculenta (Lentil) Fruit Extract,lens-esculenta-fruit-extract,['moisturizer/humectant']
Pyrus Malus (Apple) Fruit Extract,pyrus-malus-fruit-extract,['moisturizer/humectant']
Avena Sativa (Oat) Bran Extract,avena-sativa-bran-extract,"['soothing', 'abrasive/scrub']"
Sodium Hyaluronate,sodium-hyaluronate,"['skin-identical ingredient', 'moisturizer/humectant']"
Sodium Lactate,sodium-lactate,"['buffering', 'moisturizer/humectant']"
Glycolipids,glycolipids,['']
Tocopherol,tocopherol,['antioxidant']
Carrageenan,carrageenan,['viscosity controlling']
Soybeanphytosterols,phytosterols,['']
Sodium PCA,sodium-pca,"['skin-identical ingredient', 'moisturizer/humectant']"
Aloe Barbadensis Leaf Juice,aloe-barbadensis-leaf-juice,"['soothing', 'moisturizer/humectant']"
Sea Salt,maris-sal,['']
Aqua (Water),water,['solvent']
Ethylhexyl Palmitate,ethylhexyl-palmitate,"['emollient', 'perfuming']"
Caprylic/Capric Triglyceride,caprylic-capric-triglyceride,['emollient']
Glycerin,glycerin,"['skin-identical ingredient', 'moisturizer/humectant']"
Sorbitan Stearate,sorbitan-stearate,['emulsifying']
Pentaerythrityl Distearate,pentaerythrityl-distearate,['emulsifying']
Phenoxyethanol,phenoxyethanol,['preservative']
Sodium Polyacrylate,sodium-polyacrylate,['viscosity controlling']
Tocopherol (Vitamin E),tocopherol,['antioxidant']
Sodium Stearoyl Glutamate,sodium-stearoyl-glutamate,"['emulsifying', 'surfactant/cleansing']"
Helianthus Annuus (Sunflower) Seed Oil,helianthus-annuus-seed-oil,['emollient']
Parfum (Fragrance)*,parfum,['perfuming']
Carbomer,carbomer,['viscosity controlling']
Benzoic Acid,benzoic-acid,['preservative']
Echinacea Purpurea Flower/Leaf/Stem Extract,echinacea-purpurea-flower-leaf-stem-extract,['']
Dehydroacetic Acid,dehydroacetic-acid,['preservative']
Amorphophallus Konjac Root Extract,amorphophallus-konjac-root-extract,['moisturizer/humectant']
Limonene,limonene,"['perfuming', 'solvent']"
Sodium Hydroxide,sodium-hydroxide,['buffering']
Linalool,linalool,['perfuming']
Rosmarinus Officinalis (Rosemary) Leaf Extract,rosmarinus-officinalis-leaf-extract,"['antioxidant', 'soothing', 'antimicrobial/antibacterial']"
Citric Acid,citric-acid,['buffering']
Sodium Benzoate,sodium-benzoate,['preservative']
Potassium Sorbate,potassium-sorbate,['preservative']
Aqua,water,['solvent']
Cetearyl Alcohol,cetearyl-alcohol,"['emollient', 'viscosity controlling', 'emulsifying', 'surfactant/cleansing']"
Glyceryl Stearate,glyceryl-stearate,"['emollient', 'emulsifying']"
Cetrimonium Chloride,cetrimonium-chloride,"['antimicrobial/antibacterial', 'emulsifying', 'preservative', 'surfactant/cleansing']"
Bis-Cetearyl Amodimethicone,bis-cetearyl-amodimethicone,['']
Lauryl Glucoside,lauryl-glucoside,['surfactant/cleansing']
Dimethicone,dimethicone,['emollient']
